2025-10-28 22:43:47.077 | INFO  | TestExecutionListener | === SUITE STARTED: Calculator Automation Suite ===
2025-10-28 22:43:47.090 | INFO  | TestExecutionListener | Suite parameters: {calculatorAppPath=C:\Windows\System32\calc.exe, winAppDriverUrl=http://127.0.0.1:4723}
2025-10-28 22:43:52.706 | INFO  | TestExecutionListener | ▶️ TEST STARTED: testcases.TC01_Calculator.testAddition
2025-10-28 22:43:57.191 | INFO  | TestExecutionListener | ✅ TEST PASSED: testcases.TC01_Calculator.testAddition (Duration: 4469 ms)
2025-10-28 22:44:01.036 | INFO  | TestExecutionListener | ▶️ TEST STARTED: testcases.TC01_Calculator.testSubtraction
2025-10-28 22:44:06.427 | INFO  | TestExecutionListener | ✅ TEST PASSED: testcases.TC01_Calculator.testSubtraction (Duration: 5374 ms)
2025-10-28 22:44:10.260 | INFO  | TestExecutionListener | ▶️ TEST STARTED: testcases.TC01_Calculator.testMultiplication
2025-10-28 22:44:13.925 | INFO  | TestExecutionListener | ✅ TEST PASSED: testcases.TC01_Calculator.testMultiplication (Duration: 3665 ms)
2025-10-28 22:44:17.753 | INFO  | TestExecutionListener | ▶️ TEST STARTED: testcases.TC01_Calculator.testDivision
2025-10-28 22:44:21.726 | INFO  | TestExecutionListener | ✅ TEST PASSED: testcases.TC01_Calculator.testDivision (Duration: 3973 ms)
2025-10-28 22:44:21.880 | INFO  | TestExecutionListener | === SUITE FINISHED: Calculator Automation Suite ===
